value,count(1)
trumpismypresident,1
countryoverparty republicansforbiden trumpislosing,1
gopcomplicittraitors,1
quedateenradio,1
votebluetoendthisnightmare trumpgenocide,1
redwave,1
rt,1
facistinchief springtimeforhitler,1
byebitch qanon wwg1wga,1
borishasfailedtheuk,1
seniors trump gop socialsecurity medicare,1
pedophiles wherearethechildren humantrafficking evergreen pizzagate dempanic walkaway soyboys manboobs,1
savedemocracy trumpvirus,1
amen,1
unprecedentedidiot,1
peopleschamp news p2 t4a 9xok,1
trump officers,1
teletrader roboinfo0 robotex,1
bluetsunami2020,1
hottake,1
failureinchief,1
whistleblower,1
nativevote2020,1
gross sick trumpcrimedynasty,1
trumpcrimefamily deutschebank,1
childsniffer,1
trump supremeloser,1
trumpblackshirts,1
trump coup,1
colombia,1
nomoretrump,1
boycottgoya,1
barbiegoebbels,1
slaveplantation,1
creepytrump,1
egypt libya,1
indiachinafaceoff china australia taiwan hkers japan tibet trump,1
trump pettytyrant esper,1
kayleighmcenany potus trump,1
dumptrump2020 trumppandemic,1
breakingnews news china,1
loserinchief,1
removetrump,1
trumptraitor trumpisalaughingstock,1
blogmobent kimkardashian kanyewest,1
signthepetition,1
graham,1
racistjoebiden,1
notmypresident,1
contraception,1
mondaythoughts motivationmonday,1
biden biden,1
mondaymotivation mondaythoughts,1
operationpaintdrop blm,1
notmychild,1
alllivesmatter,1
traitortrump trumpvirus trumpisalaughingstock,1
howitstarts,1
democratsaremarxistsdestroyingamerica dems lockuptlaib,1
amjoy,1
kysen trump,1
maga2,1
coviddeathbytrump,1
votethemallout,1
trumpbodycount143000,1
makeamericagreatagain maga theresistance,1
trump maga america,1
redliningdiscrimination,1
trumpisamobster,1
deadlydonald trumpvirus,1
derelictmayor,1
magazolanos,1
johnlewis trump cnn,1
portlandprotests portlandkidnappings portlandmoms,1
cowardlytrump,1
trump coronavirus republican,1
votebluetoendthisnightmare votebluetosaveamerica2020,1
americaortrump americastrongerwithbiden,1
biden2020 voteforourlives,1
republicans russian hoax,1
tiktok communiste,1
please,1
peoplenow,1
secretpolice maga,1
savethesenateexceptmcconnell,1
gop trump markmeadows,1
qanons thegreatawakeningworldwide trump2020landslidevictory,1
trumpthreatensamerica trumpviruskills145k americastrongerwithbiden,1
covid19 whitehouse trumpadministration,1
thatcretin,1
idonotmeantheshow,1
scummedia blmnazi,1
unfittobepresident trumpviruscatastrophe trumpkillsus trumpvirus,1
trumpdeathtoll142k unemployedamericans51million adecimatedeconomy,1
chicago trump,1
voteallrepublicansout tre45on putinsgop bunkerboy trumprecession impeached 25thadmendment dementia,1
trump pinochet protest constitution rights,1
ye kanyewest yezzy,1
crisesanitaire event201,1
tryintobebiden,1
pedophilepandemic drainthedeepstateluciferiancabal,1
beverlybeattyisamerica,1
trumpvirus biden2020landslide,1
makeamericaimpeachagain maia,1
immigrantswork trump,1
johnlewis,1
fascism trump blm,1
maga2020 kag2020,1
erictrumpstolefromcharity,1
toolittletoolate,1
trump2020 kag,1
seattleprotest,1
elpaso,1
kanyestein,1
trump2020 kag maga wwg1wga,1
trump2020landslide maga,1
ivermectin,1
chriswallace elephant bluewave,1
opdeatheaters,1
gophypocrisy trulypathetic,1
infrastructure,1
tlaib,1
trumpisalaughingstock trumpvirus trumpisamoron,1
johnkasich,1
isupportjoe,1
trumpsgestapo wannabedictator votebidentosaveamerica2020,1
dumptrump trumpfailsamerica,1
freemelania,1
viruschino,1
randpaul,1
lyingted,1
worstpresidentinhistory liarinchief trumpliespeopledie lockhimup,1
kanyewestisoverparty,1
uspresidentialcampaign biden2020,1
traitortrump trumpthreatensamerica,1
fascistpigs fascists fascism policefascism blacklivesmatter fascisttrump fascistgop fascisminamerica,1
presidentialidiot,1
sexandthecity,1
orangepig,1
muzzieland,1
enoughisenough,1
allcountriesmatter alllivesmatter trump trump2020 maga makeamericagreatagain police,1
msnbc iowa,1
michellemalkin,1
cobardematoncito,1
trumpviruscatastrophe trumpvirus trumpviruskills145k,1
protests2020 protestaction protesta,1
trumpgestapo biden2020 scarey holdon,1
blacklivesmatter georgefloyd fascismhascometoamericawithtrumpandgop resist peacefulprotest,1
votebluetosavelives,1
democrat democrats biden biden2020 blm democratsareracist racist,1
qsaid,1
dictatorwannabe,1
liarinchief unfittobepresident,1
takedownccp,1
trump biden hiddenenemy,1
trump ccp,1
gopfraud,1
american,1
trumpmeltdown,1
colombiasupportstrump,1
trumpownseverydeath votetrumpout voteoutthegop,1
votepelosiout,1
wigop americaortrump,1
brexitbenefit,1
freedom biden trump2020,1
maga trumpthreatensamerica,1
financial trump,1
globalshift thegreatawakening,1
newyork eu,1
makechesterproud ripchesterbennington,1
resistersunite,1
kanyerally kanyewest,1
portlandprotests abolishice,1
freehongkong,1
gopprodeath,1
momtifa fascismishere,1
patriotmyass toolittletoolate,1
mediabias,1
trumpvirus trumpviruscatastrophe trumpviruscoverup trumpviruskills145k biden votebluetosaveamerica2020,1
joebiden covid19 trump,1
unfitforoffice,1
fify,1
bidenwarren2020,1
libtard trump,1
trump2020landslidevictory joebidenisnotcompetenttobecomepresident,1
pizzagate frazzledrip obamagate trump2020,1
resist resistance,1
dupedtrump,1
trumpthreatensamerica trumpcult,1
covid911,1
yeezy,1
keepamericagreat makeamericagreat,1
swiftjustice,1
drunkboy,1
gopcomplicittraitors mcsally,1
impeachthetyrant,1
kanyeneedsanap,1
hanghiminpublic traitor,1
newsmax news newsmatters maga2020,1
election2020 gopcheats votebluetosaveamerica2020,1
lindseygraham,1
bookpartyng,1
lies media,1
trump unitedstates,1
greenguysusa,1
trump2020 joebidenhasdementia,1
trumpsgestapo trumpsecretpolice,1
blm blacklivesmatter georgefloyd justiceforgeorgefloyd protest justice racism,1
unbiased,1
biden clinton msnbc,1
arrestlightfoot chicago,1
voteblue,1
fredsconstruct collateraldamage,1
polls trump,1
news cnbc,1
trumpislosing trumpviruscatastrophe biden biden2020landslide,1
greatestpresidentever,1
trump2020 americafirst promiseskept promisesmadepromiseskept,1
fascismhascometoamericawithtrumpandgop fascisttrump trumputinbounties trumpdeathtoll143k,1
traitormitch putinpayshim,1
fakenews trump2020,1
liberalsagainstmasks,1
dollars,1
protectamerica stayinformed factcheck vote,1
canceltrumpsong,1
frogmarch,1
trumpvirus trumpfailedamerica,1
donniedollhands cheetomcasshat biden2020landslide tangerinetyrant istandwithfauci,1
trump american election,1
trumpisunwell trumpisunfitforoffice,1
vigilance votingrights electionsecurity nojusticenopeace,1
ducttape,1
dumptrump2020 putinspuppet trumptraitor,1
alkqn,1
disgusting disgrace,1
wearamaskplease,1
americaortrump babygate trump coronavirusoutbreak trumpisanationaldisgrace,1
yourmyfavoritepresidentalways,1
nbc torturedsouls,1
teamtrump wwg1wga maga kaga,1
pandemic peternavarro,1
kaga2020,1
resign,1
marytrumpbook,1
newyorktimes cnn msnbc abcnews nbcnews cnnnewsroom acosta jaketapper brianstelter,1
q qanons taketheoath usa redpill wwg1gwa,1
genz,1
teammask,1
factchecking china coronavirus,1
2a tyrannical,1
teamcavuto,1
trumpthepoor,1
trumpvirus knowyourrights,1
robreiner plannedparenthood,1
humanscum,1
hotculture,1
twitter trump tommytuberville dougjones,1
trumpincitesviolence,1
whoblewupanddown,1
florida coronavirus,1
ut02,1
lawenforcement,1
bfdunclejoe nwo bmsproject,1
kasich bluewave2020 ohiocoronavirus,1
actonclimate climatechange,1
espnhateswhitepeople,1
goyaway goyaboycott,1
notifyouareawomaneither,1
faucithefraud,1
foreverimpeached trump,1
superspreadertrump,1
epstein epsteinblackbook,1
fascism101,1
votebluetosaveamerica2020 voteforourlives,1
pennsylvania redwave2020,1
kanyewest kimkardashian wahlkampf,1
support covers,1
msm,1
denydistractdeflect,1
trumpthedictatorneedstobestopped,1
civilwar michaelcaputo,1
refundthepolice jesusmatters,1
complicitcorruptgop,1
sciencefirst,1
onwhoseauthority,1
recallronjohnson,1
douchebag donaldtrump,1
trumpisaterrorist,1
ncpol,1
facebook stock marketscreener,1
defundmedicare,1
democratparty,1
gestapotrump gestapocops,1
mindyrobinson trump treason dictator traitor,1
defendpdx,1
detroit,1
tds,1
trumpmustgo biden2020landslide,1
trump crack,1
trumpisanasshole,1
dumptrump2020 dumptrump trumphasnocredibility trumpvirus,1
nancypelosi,1
kanyewest kanye2020,1
boycotttrumpbriefings,1
realnews truth trump trump2020 qanon obamagate,1
usa eeuu,1
fucktrump unpresidentedidiot,1
ny21,1
teampa leadright,1
goldstardad,1
elcacas,1
fakefoxnews,1
istandwithscience istandagainsttrump,1
defundthedhs,1
teuthhurts,1
homeschool portlandprotest,1
bolton,1
trumpgolfsamericansdie,1
trumprussia,1
nomorecensorship,1
chicagoan,1
trump flynn qanon2018,1
blacklivesmatter actblue blacklivesmatter,1
kasich dnc joebiden,1
storm thegreatawakening,1
momsagainstfascism,1
redpillraven digitalsoldiers qanon,1
bountygateaintgoingaway traitorinchief putinspuppet onev1 demcast,1
dailymail news entertainment art,1
onlineprotest resist trumpinvasion resist trumpgestapo resist wannabehitler strike4blacklives,1
nooneisabovethelaw,1
reposted,1
itonlytook4years trumppandemic usa wakeup wankers america,1
prayforkanye,1
mapoli bospoli nhpolitics,1
bidencrimefamily,1
cdnpoli uspoli coronavirus covid19 facemasks,1
newt,1
realtalk,1
blacklivesmatter covid19,1
trumpdeathtoll143k trumpkillsus trumpliesamericansdie trumpgopgenocide gopcowards gopcorruptionovercountry,1
littletyrant,1
latinosfortrump,1
joebiden bluedot onev1,1
translivesmatter blacktranslivesmatter lgbtq,1
blmnazi,1
deleted,1
nopayrolltaxcut nopayrolltaxcut nopayrolltaxcut,1
dumptreasonoustrump putinspuppet votebluenomatterwho,1
eugipfel,1
christopherdavid portlandundersiege,1
keeptexasred dontmesswithtexas keeptexasred donttrusttrump medicareforall,1
maga trump2020landslide,1
magastapo,1
whoistiffany,1
epsteinandtrump,1
chinavirus,1
neolibs,1
politicalprisoners,1
markmeadows dumptrump votethegopout,1
justsayno trump covid19,1
msmsucks holdthemsmaccountable obamagate stopmarxistblm,1
crossoverrepublicans,1
mondaywisdom,1
nazi fucktrump flushtheturd,1
williambarr,1
dividerinchieftrump,1
trumptard,1
mundialesld,1
votebluetosaveamerica2020 votebluetoendthisnightmare,1
nh blm wwg1wga qanon usa,1
joebiden realbiden,1
protecttheresults,1
raiseholyhell resisting marching,1
reidout,1
blacktwitter blacktwittermovement mullionmuslimvotessummit,1
fundraiser biden mueller obamagate,1
fbr suckupsunday resist biden,1
